,Unnamed: 0,index,brands_url,models,models_url,generations,generations_url,modifications,modifications_url,dataframe
0,0,23,https://www.auto-data.net/en/b.engineering-brand-283,b.engineering-edonis-model-2709,https://www.auto-data.net/en/b.engineering-edonis-model-2709,b.engineering-edonis-generation-7188,https://www.auto-data.net/en/b.engineering-edonis-generation-7188,b.engineering-edonis-3.8-v12-690hp-37356,https://www.auto-data.net/en/b.engineering-edonis-3.8-v12-690hp-37356,"           Brand   Model Generation Modification (Engine) Start of production  \
0  B.Engineering  Edonis     Edonis      3.8 V12 (690 Hp)           2002 year   

  End of production     Powertrain Architecture Body type Seats Doors  ...  \
0         2006 year  Internal Combustion engine     Coupe     2     2  ...   

   Drivetrain, brakes and suspension specs  \
0  Drivetrain, brakes and suspension specs   

                             Drivetrain Architecture       Drive wheel  \
0  The Internal combustion engine (ICE) drives th...  Rear wheel drive   

  Number of Gears (manual transmission) Front suspension  Rear suspension  \
0                                     6  Double wishbone  Double wishbone   

       Front brakes       Rear brakes               Assisting systems  \
0  Ventilated discs  Ventilated discs  ABS (Anti-lock braking system)   

                                          Tires size  
0  Front wheel tires: 245/650 ZR480Rear wheel tir...  

[1 rows x 49 columns]"
1,1,24,https://www.auto-data.net/en/bac-brand-68,bac-mono-model-2223,https://www.auto-data.net/en/bac-mono-model-2223,bac-mono-r-generation-7600,https://www.auto-data.net/en/bac-mono-r-generation-7600,bac-mono-r-2.5-340hp-automatic-39326,https://www.auto-data.net/en/bac-mono-r-2.5-340hp-automatic-39326,"  Brand Model Generation   Modification (Engine) Start of production  \
0   BAC  Mono     Mono R  2.5 (340 Hp) Automatic           2019 year   

      Powertrain Architecture Body type Seats  Performance specs  \
0  Internal Combustion engine  Roadster     1  Performance specs   

           Fuel Type  ...  Drivetrain, brakes and suspension specs  \
0  Petrol (Gasoline)  ...  Drivetrain, brakes and suspension specs   

                             Drivetrain Architecture       Drive wheel  \
0  The Internal combustion engine (ICE) drives th...  Rear wheel drive   

  Number of Gears (automatic transmission) Front suspension  Rear suspension  \
0                                        6  Double wishbone  Double wishbone   

       Front brakes       Rear brakes  \
0  Ventilated discs  Ventilated discs   

                                          Tires size  \
0  Front wheel tires: 205/40 R17Rear wheel tires:...   

                                     Wheel rims size  
0  Front wheel rims: 7.5J x 17Rear wheel rims: 8....  

[1 rows x 45 columns]"
2,2,24,https://www.auto-data.net/en/bac-brand-68,bac-mono-model-2223,https://www.auto-data.net/en/bac-mono-model-2223,bac-mono-generation-5985,https://www.auto-data.net/en/bac-mono-generation-5985,bac-mono-2.5-305hp-automatic-32126,https://www.auto-data.net/en/bac-mono-2.5-305hp-automatic-32126,"  Brand Model Generation   Modification (Engine) Start of production  \
0   BAC  Mono       Mono  2.5 (305 Hp) Automatic           2016 year   

  End of production     Powertrain Architecture Body type Seats  \
0         2020 year  Internal Combustion engine  Roadster     1   

   Performance specs  ...                            Drivetrain Architecture  \
0  Performance specs  ...  The Internal combustion engine (ICE) drives th...   

        Drive wheel Number of Gears (automatic transmission) Front suspension  \
0  Rear wheel drive                                        6  Double wishbone   

   Rear suspension      Front brakes       Rear brakes  \
0  Double wishbone  Ventilated discs  Ventilated discs   

                Assisting systems              Tires size  \
0  ABS (Anti-lock braking system)  205/40 R17; 245/40 R17   

        Wheel rims size  
0  7.5J x 17; 8.5J x 17  

[1 rows x 49 columns]"
3,3,25,https://www.auto-data.net/en/baic-motor-brand-61,baic-motor-bj-2020-model-701,https://www.auto-data.net/en/baic-motor-bj-2020-model-701,baic-motor-bj-2020-generation-1480,https://www.auto-data.net/en/baic-motor-bj-2020-generation-1480,baic-motor-bj-2020-2.4-87hp-6517,https://www.auto-data.net/en/baic-motor-bj-2020-2.4-87hp-6517,"        Brand    Model Generation Modification (Engine) Start of production  \
0  BAIC Motor  BJ 2020    BJ 2020           2.4 (87 Hp)           1989 year   

  End of production     Powertrain Architecture               Body type Seats  \
0         2005 year  Internal Combustion engine  Station wagon (estate)     5   

  Doors  ...  Drivetrain, brakes and suspension specs            Drive wheel  \
0     5  ...  Drivetrain, brakes and suspension specs  All wheel drive (4x4)   

  Number of Gears (manual transmission) Front suspension Rear suspension  \
0                                     4      Leaf spring     Leaf spring   

  Front brakes Rear brakes               Assisting systems  Tires size  \
0         Disc        Drum  ABS (Anti-lock braking system)  215/80 R16   

  Wheel rims size  
0         6J x 16  

[1 rows x 53 columns]"
4,4,25,https://www.auto-data.net/en/baic-motor-brand-61,baic-motor-bj-2020-model-701,https://www.auto-data.net/en/baic-motor-bj-2020-model-701,baic-motor-bj-2020-generation-1480,https://www.auto-data.net/en/baic-motor-bj-2020-generation-1480,baic-motor-bj-2020-2.4-106hp-6516,https://www.auto-data.net/en/baic-motor-bj-2020-2.4-106hp-6516,"        Brand    Model Generation Modification (Engine) Start of production  \
0  BAIC Motor  BJ 2020    BJ 2020          2.4 (106 Hp)           1989 year   

  End of production     Powertrain Architecture               Body type Seats  \
0         2005 year  Internal Combustion engine  Station wagon (estate)     5   

  Doors  ...  Drivetrain, brakes and suspension specs            Drive wheel  \
0     5  ...  Drivetrain, brakes and suspension specs  All wheel drive (4x4)   

  Number of Gears (manual transmission) Front suspension Rear suspension  \
0                                     4      Leaf spring     Leaf spring   

  Front brakes Rear brakes               Assisting systems  Tires size  \
0         Disc        Drum  ABS (Anti-lock braking system)  215/80 R16   

  Wheel rims size  
0         6J x 16  

[1 rows x 53 columns]"
5,5,25,https://www.auto-data.net/en/baic-motor-brand-61,baic-motor-senova-d50-model-2757,https://www.auto-data.net/en/baic-motor-senova-d50-model-2757,baic-motor-senova-d50-ii-generation-7411,https://www.auto-data.net/en/baic-motor-senova-d50-ii-generation-7411,baic-motor-senova-d50-ii-1.5t-150hp-cvt-38860,https://www.auto-data.net/en/baic-motor-senova-d50-ii-1.5t-150hp-cvt-38860,"        Brand       Model     Generation Modification (Engine)  \
0  BAIC Motor  Senova D50  Senova D50 II     1.5T (150 Hp) CVT   

  Start of production     Powertrain Architecture Body type Seats Doors  \
0     July, 2019 year  Internal Combustion engine     Sedan     5     4   

   Performance specs  ...            Wheelbase  \
0  Performance specs  ...  2670 mm  105.12 in.   

   Drivetrain, brakes and suspension specs  \
0  Drivetrain, brakes and suspension specs   

                             Drivetrain Architecture        Drive wheel  \
0  The Internal combustion engine (ICE) drives th...  Front wheel drive   

  Number of Gears (automatic transmission) Front suspension Rear suspension  \
0                                      CVT        McPherson         Torsion   

                Assisting systems              Tires size Wheel rims size  
0  ABS (Anti-lock braking system)  205/55 R16; 205/50 R17          16; 17  

[1 rows x 43 columns]"
6,6,25,https://www.auto-data.net/en/baic-motor-brand-61,baic-motor-senova-d50-model-2757,https://www.auto-data.net/en/baic-motor-senova-d50-model-2757,baic-motor-senova-d50-ii-generation-7411,https://www.auto-data.net/en/baic-motor-senova-d50-ii-generation-7411,baic-motor-senova-d50-ii-1.5t-150hp-38859,https://www.auto-data.net/en/baic-motor-senova-d50-ii-1.5t-150hp-38859,"        Brand       Model     Generation Modification (Engine)  \
0  BAIC Motor  Senova D50  Senova D50 II         1.5T (150 Hp)   

  Start of production     Powertrain Architecture Body type Seats Doors  \
0     July, 2019 year  Internal Combustion engine     Sedan     5     4   

   Performance specs  ...            Wheelbase  \
0  Performance specs  ...  2670 mm  105.12 in.   

   Drivetrain, brakes and suspension specs  \
0  Drivetrain, brakes and suspension specs   

                             Drivetrain Architecture        Drive wheel  \
0  The Internal combustion engine (ICE) drives th...  Front wheel drive   

  Number of Gears (manual transmission) Front suspension Rear suspension  \
0                                     6        McPherson         Torsion   

                Assisting systems  Tires size Wheel rims size  
0  ABS (Anti-lock braking system)  205/55 R16              16  

[1 rows x 43 columns]"
7,7,25,https://www.auto-data.net/en/baic-motor-brand-61,baic-motor-senova-d50-model-2757,https://www.auto-data.net/en/baic-motor-senova-d50-model-2757,baic-motor-senova-d50-ii-generation-7411,https://www.auto-data.net/en/baic-motor-senova-d50-ii-generation-7411,baic-motor-senova-d50-ii-1.5i-116hp-cvt-38858,https://www.auto-data.net/en/baic-motor-senova-d50-ii-1.5i-116hp-cvt-38858,"        Brand       Model     Generation Modification (Engine)  \
0  BAIC Motor  Senova D50  Senova D50 II     1.5i (116 Hp) CVT   

   Start of production     Powertrain Architecture Body type Seats Doors  \
0  November, 2017 year  Internal Combustion engine     Sedan     5     4   

   Performance specs  ...            Wheelbase  \
0  Performance specs  ...  2670 mm  105.12 in.   

   Drivetrain, brakes and suspension specs  \
0  Drivetrain, brakes and suspension specs   

                             Drivetrain Architecture        Drive wheel  \
0  The Internal combustion engine (ICE) drives th...  Front wheel drive   

  Number of Gears (automatic transmission) Front suspension Rear suspension  \
0                                      CVT        McPherson         Torsion   

                Assisting systems  Tires size Wheel rims size  
0  ABS (Anti-lock braking system)  205/55 R16              16  

[1 rows x 43 columns]"
8,8,25,https://www.auto-data.net/en/baic-motor-brand-61,baic-motor-senova-d50-model-2757,https://www.auto-data.net/en/baic-motor-senova-d50-model-2757,baic-motor-senova-d50-ii-generation-7411,https://www.auto-data.net/en/baic-motor-senova-d50-ii-generation-7411,baic-motor-senova-d50-ii-1.5i-116hp-38857,https://www.auto-data.net/en/baic-motor-senova-d50-ii-1.5i-116hp-38857,"        Brand       Model     Generation Modification (Engine)  \
0  BAIC Motor  Senova D50  Senova D50 II         1.5i (116 Hp)   

   Start of production     Powertrain Architecture Body type Seats Doors  \
0  November, 2017 year  Internal Combustion engine     Sedan     5     4   

   Performance specs  ...            Wheelbase  \
0  Performance specs  ...  2670 mm  105.12 in.   

   Drivetrain, brakes and suspension specs  \
0  Drivetrain, brakes and suspension specs   

                             Drivetrain Architecture        Drive wheel  \
0  The Internal combustion engine (ICE) drives th...  Front wheel drive   

  Number of Gears (manual transmission) Front suspension Rear suspension  \
0                                     5        McPherson         Torsion   

                Assisting systems  Tires size Wheel rims size  
0  ABS (Anti-lock braking system)  205/55 R16              16  

[1 rows x 43 columns]"
9,9,25,https://www.auto-data.net/en/baic-motor-brand-61,baic-motor-senova-d50-model-2757,https://www.auto-data.net/en/baic-motor-senova-d50-model-2757,baic-motor-senova-d50-i-generation-7410,https://www.auto-data.net/en/baic-motor-senova-d50-i-generation-7410,baic-motor-senova-d50-i-1.5i-113hp-cvt-38856,https://www.auto-data.net/en/baic-motor-senova-d50-i-1.5i-113hp-cvt-38856,"        Brand       Model    Generation Modification (Engine)  \
0  BAIC Motor  Senova D50  Senova D50 I     1.5i (113 Hp) CVT   

  Start of production    End of production     Powertrain Architecture  \
0    April, 2014 year  November, 2017 year  Internal Combustion engine   

  Body type Seats Doors  ...  \
0     Sedan     5     4  ...   

                             Drivetrain Architecture        Drive wheel  \
0  The Internal combustion engine (ICE) drives th...  Front wheel drive   

  Number of Gears (automatic transmission) Front suspension  \
0                                      CVT        McPherson   

          Rear suspension      Front brakes Rear brakes  \
0  Multi-link independent  Ventilated discs        Disc   

                Assisting systems              Tires size Wheel rims size  
0  ABS (Anti-lock braking system)  195/65 R15; 205/55 R16          15; 16  

[1 rows x 51 columns]"
